baseline_variant,model,batch_size,sequence_length,latency_ms,throughput_images_s,throughput_tokens_s,energy_j,flow_buffer_peak_frac,flow_buffer_peak_frac_status,repeat_count
ASTRA,mobilevit_xxs,1,128,0.22091315000000003,4526.665796037944,579413.2218928569,0.012058486797877134,0.0,derived_from_trace,1
ASTRA,mobilevit_xxs,1,197,0.26796087,3731.8881671043982,735181.9689195665,0.014990353320854284,0.0,derived_from_trace,1
ASTRA,mobilevit_xxs,1,256,0.30911932000000003,3234.996764356236,828159.1716751964,0.01757921311303999,0.0,derived_from_trace,1
ASTRA,mobilevit_xxs,2,128,0.43303509,4618.563359380414,591176.110000693,0.02334447475847423,0.0,derived_from_trace,1
ASTRA,mobilevit_xxs,2,197,0.5290403100000001,3780.430266268367,744744.7624548684,0.029376063332382844,0.0,derived_from_trace,1
ASTRA,mobilevit_xxs,2,256,0.61304467,3262.4050054949507,835175.6814067074,0.034701766243295684,0.0,derived_from_trace,1
ASTRA,mobilevit_xxs,4,128,0.8608751499999999,4646.434503307478,594743.6164233572,0.046232289525414166,0.0,derived_from_trace,1
ASTRA,mobilevit_xxs,4,197,1.05119827,3805.1813003839898,749620.7161756459,0.05814748334793995,0.0,derived_from_trace,1
ASTRA,mobilevit_xxs,4,256,1.2189940700000002,3281.3941416466446,840036.900261541,0.0687800256011314,0.0,derived_from_trace,1
DET,mobilevit_s,1,128,0.9303561600000001,1074.8571815765695,137581.7192418009,0.051576779723817995,1.0,derived_from_trace,1
DET,mobilevit_s,1,197,1.0917965900000002,915.9215271042382,180436.54083953492,0.0632829252931339,1.0,derived_from_trace,1
DET,mobilevit_s,1,256,1.2443620049999997,803.6246654766675,205727.91436202687,0.0747539693784269,1.0,derived_from_trace,1
DET,mobilevit_s,2,128,1.8530136449999999,1079.3228670477492,138153.3269821119,0.10237845288856191,1.0,derived_from_trace,1
DET,mobilevit_s,2,197,2.1811015200000003,916.9678631006591,180642.66903082986,0.12631461675325423,1.0,derived_from_trace,1
DET,mobilevit_s,2,256,2.476734535,807.514883705532,206723.8102286162,0.14830081010253823,1.0,derived_from_trace,1
DET,mobilevit_s,4,128,3.6940330149999996,1082.827355293683,138601.90147759143,0.20354977706405833,1.0,derived_from_trace,1
DET,mobilevit_s,4,197,4.35970455,917.493365462116,180746.19299603684,0.25237799959099483,1.0,derived_from_trace,1
DET,mobilevit_s,4,256,4.941986249999999,809.3911633202136,207204.1378099747,0.29544594442121414,1.0,derived_from_trace,1
DET,mobilevit_xs,1,128,0.47102481500000004,2123.030397029082,271747.8908197225,0.0207982880785862,1.0,derived_from_trace,1
DET,mobilevit_xs,1,197,0.541941255,1845.218445309169,363508.0337259063,0.02534096343645067,1.0,derived_from_trace,1
DET,mobilevit_xs,1,256,0.6032206750000001,1657.7681128054833,424388.6368782037,0.02928973279080341,1.0,derived_from_trace,1
DET,mobilevit_xs,2,128,0.938179845,2131.787429306798,272868.79095127014,0.04120711348939301,1.0,derived_from_trace,1
DET,mobilevit_xs,2,197,1.0781888849999999,1854.9625467526503,365427.6217102721,0.050108862373076185,1.0,derived_from_trace,1
DET,mobilevit_xs,2,256,1.200693445,1665.7041048475116,426420.250840963,0.05800097443157954,1.0,derived_from_trace,1
DET,mobilevit_xs,4,128,1.870612395,2138.337162039387,273707.1567410415,0.08183573585250874,1.0,derived_from_trace,1
DET,mobilevit_xs,4,197,2.1504059150000003,1860.113931094725,366442.4444256608,0.09961682353267468,1.0,derived_from_trace,1
DET,mobilevit_xs,4,256,2.3936116149999997,1671.1148855283277,427805.4106952519,0.11521955626231152,1.0,derived_from_trace,1
DET,mobilevit_xxs,1,128,0.14196534,7043.972845766439,901628.5242581042,0.0060199613134448,1.0,derived_from_trace,1
DET,mobilevit_xxs,1,197,0.16993814999999998,5884.493858500873,1159245.290124672,0.0074832579036194545,1.0,derived_from_trace,1
DET,mobilevit_xxs,1,256,0.19426163000000002,5147.696948697486,1317810.4188665564,0.008775278493261708,1.0,derived_from_trace,1
DET,mobilevit_xxs,2,128,0.2801063,7140.146437263283,913938.7439697002,0.01165513286049953,1.0,derived_from_trace,1
DET,mobilevit_xxs,2,197,0.336885125,5936.741789949912,1169538.1326201328,0.014665336637897746,1.0,derived_from_trace,1
DET,mobilevit_xxs,2,256,0.386266035,5177.778574292715,1325511.3150189351,0.017323089872573194,1.0,derived_from_trace,1
DET,mobilevit_xxs,4,128,0.5579516549999999,7169.079908903578,917642.228339658,0.023082798567048823,1.0,derived_from_trace,1
DET,mobilevit_xxs,4,197,0.6707722150000001,5963.276221869148,1174765.4157082222,0.029029494030204342,1.0,derived_from_trace,1
DET,mobilevit_xxs,4,256,0.769440885,5198.58000527227,1330836.481349701,0.034335604345605716,1.0,derived_from_trace,1
SPARSE,mobilevit_s,1,128,1.09492867,913.3015030102371,116902.59238531034,0.07787111101813006,1.0,derived_from_trace,1
SPARSE,mobilevit_s,1,197,1.30623146,765.5611050739813,150815.5376995743,0.09555302461401005,1.0,derived_from_trace,1
SPARSE,mobilevit_s,1,256,1.509083815,662.6537174808942,169639.35167510892,0.11288163307541008,1.0,derived_from_trace,1
SPARSE,mobilevit_s,2,128,2.1780968599999997,918.2328099035965,117533.79966766035,0.15457047725349005,1.0,derived_from_trace,1
SPARSE,mobilevit_s,2,197,2.6086477550000002,766.6807433723453,151036.10644435202,0.1907262537430201,1.0,derived_from_trace,1
SPARSE,mobilevit_s,2,256,2.9998473399999996,666.700592837501,170675.35176640024,0.22393842481433973,1.0,derived_from_trace,1
SPARSE,mobilevit_s,4,128,4.3378755600000005,922.1103613216602,118030.1262491725,0.3073161131804997,1.0,derived_from_trace,1
SPARSE,mobilevit_s,4,197,5.2134820049999995,767.2415472353779,151146.58480536944,0.3810727120035402,1.0,derived_from_trace,1
SPARSE,mobilevit_s,4,256,5.982159959999999,668.6548047438038,171175.63001441376,0.4461297906176799,1.0,derived_from_trace,1
SPARSE,mobilevit_xs,1,128,0.51319684,1948.5700652404644,249416.96835077944,0.031379203997559973,1.0,derived_from_trace,1
SPARSE,mobilevit_xs,1,197,0.60136931,1662.871688613441,327585.72265684785,0.038238066681070014,1.0,derived_from_trace,1
SPARSE,mobilevit_xs,1,256,0.677737995,1475.4964416595826,377727.08906485315,0.04420032583806996,1.0,derived_from_trace,1
SPARSE,mobilevit_xs,2,128,1.02048569,1959.8510979610114,250860.94053900946,0.06216964916959993,1.0,derived_from_trace,1
SPARSE,mobilevit_xs,2,197,1.1940406300000002,1674.9848788646325,329972.0211363326,0.07560981990279003,1.0,derived_from_trace,1
SPARSE,mobilevit_xs,2,256,1.346699965,1485.1117932567852,380188.619073737,0.0875261346781299,1.0,derived_from_trace,1
SPARSE,mobilevit_xs,4,128,2.03219462,1968.3154165618253,251944.37331991363,0.12346478133993989,1.0,derived_from_trace,1
SPARSE,mobilevit_xs,4,197,2.378965625,1681.4030257372883,331236.3960702458,0.1503112450669,1.0,derived_from_trace,1
SPARSE,mobilevit_xs,4,256,2.681524515,1491.68876794699,381872.32459442946,0.17386951029158987,1.0,derived_from_trace,1
SPARSE,mobilevit_xxs,1,128,0.152738115,6547.154258123455,838035.7450398023,0.00907998834969,1.0,derived_from_trace,1
SPARSE,mobilevit_xxs,1,197,0.184968895,5406.314396807096,1065043.936170998,0.011287674910329986,1.0,derived_from_trace,1
SPARSE,mobilevit_xxs,1,256,0.21314795499999997,4691.576796971851,1201043.6600247938,0.01323707904787999,1.0,derived_from_trace,1
SPARSE,mobilevit_xxs,2,128,0.29963863,6674.706795982881,854362.4698858088,0.017578282040970006,1.0,derived_from_trace,1
SPARSE,mobilevit_xxs,2,197,0.36537132499999997,5473.883315829452,1078355.013218402,0.02212005107377998,1.0,derived_from_trace,1
SPARSE,mobilevit_xxs,2,256,0.422845715,4729.857555728098,1210843.5342663932,0.02613029132596999,1.0,derived_from_trace,1
SPARSE,mobilevit_xxs,4,128,0.5958239999999999,6713.391874110477,859314.1598861411,0.034812697280900015,1.0,derived_from_trace,1
SPARSE,mobilevit_xxs,4,197,0.7261690949999999,5508.358903651773,1085146.7040193994,0.043784803314429965,1.0,derived_from_trace,1
SPARSE,mobilevit_xxs,4,256,0.84097914,4756.360544210407,1217628.2993178642,0.05179107950906994,1.0,derived_from_trace,1
FULLER,mobilevit_s,1,128,0.7201405860000001,1388.6177497014448,177743.07196178494,0.03499399534437496,1.0,derived_from_trace,1
FULLER,mobilevit_s,1,197,0.8455672479999999,1182.6380484405895,232979.69554279617,0.042958333470159045,1.0,derived_from_trace,1
